VF,LCD (Å),PLD (Å),SA (m2/g )
0.77,13.1091,11.5975,3959.36
0.7102,15.9933,15.9026,2172.77
0.8636,16.1529,14.6931,4211.18
0.7642,12.6449,7.03976,3236.63
0.693,6.7853,6.06191,3613.74
0.6666,6.1215,5.54396,3341.42
0.5382,9.86717,4.17287,1080.45
0.6236,10.8022,6.73703,1084.34
0.6338,7.23927,6.67302,2274.52
0.7474,13.2648,11.3344,3898.11
0.691,17.4656,10.3818,2073.76
0.7556,13.0957,7.43748,3730.15
0.6642,7.05179,4.74765,2753.93
0.832,11.3854,11.1242,4292.99
0.6166,8.41895,4.83802,1416.47
0.8816,28.6652,11.5377,5712.98
0.7728,10.0804,7.17794,4441.79
0.5764,10.4024,4.28813,1315
0.6774,11.1226,10.8478,1217.75
0.7028,10.5539,8.11262,2120.63
0.5642,9.3261,6.791,1387.02
0.7778,9.02646,6.62876,3189.43
0.8226,16.8839,10.6099,4557.7
0.6084,10.859,8.03964,1347.74
0.6208,14.8276,14.7703,1444.16
0.6412,8.1775,6.04263,1629.55
0.7648,6.72825,5.09275,2492.42
0.6966,15.4253,11.2027,2364.92
0.738,11.0594,6.30446,2440.24
0.8024,23.8709,10.8478,1789.58
0.6966,12.6903,3.67391,1688.54
0.789,9.46604,8.41122,3384.04
0.8738,25.7153,12.0883,5688.62
0.8462,24.3095,9.03515,4885.64
0.7038,10.0325,9.59417,2551.51
0.455,9.53782,8.62412,387.91
0.498,9.6196,8.46967,487.441
0.6558,8.02196,4.1722,1525.15
0.5032,8.34589,6.74867,430.794
0.815,12.9546,9.6087,4689.52
0.6796,6.09263,4.09444,3192.37
0.6042,8.05193,5.7692,1147.19
0.3124,5.58258,4.94247,280.425
0.895,28.4313,15.9175,5364.2
0.774,11.3319,6.86002,3628.15
0.7424,17.0695,6.66429,2955.01
0.7494,14.034,9.0463,2772.55
0.7326,8.3495,5.13588,5084.98
0.7,8.83543,4.89469,4918.23
0.6166,8.78202,2.88546,1585.3
0.7294,11.38,7.84586,2590.9
0.7478,11.4636,8.17134,2794.23
0.7126,10.8252,7.21362,2383.39
0.7696,12.9492,9.87431,3796.8
0.7806,19.4865,7.36184,3750.66
0.6626,14.9857,9.18322,2293.15
0.5816,11.1295,5.24741,1572.51
0.5876,9.77773,6.64666,1344.03
0.6292,10.7812,7.93542,1741.63
0.6314,12.1174,9.13356,1597.54
0.5804,9.15011,7.4108,1730.09
0.5488,10.0982,9.93982,838.914
0.7036,11.2634,10.7991,2166.48
0.67,5.43084,3.59671,2061.03
0.3762,7.49679,5.33186,418.693
0.8498,13.5278,8.78691,5095.35
0.6656,8.36266,5.62116,2909.32
0.5984,7.62911,3.95603,1922.93
0.757,12.6574,11.15,3462.47
0.7614,12.4694,12.0996,3572.33
0.7826,13.8961,6.70448,3779.43
0.6134,12.8128,3.94057,1673.14
0.824,20.2997,7.90669,4635.5
0.8074,10.0315,6.17304,5779.04
0.684,10.7383,9.8398,1926.45
0.5464,8.64157,7.39543,609.178
0.6278,9.86619,7.72074,748.321
0.658,16.0507,15.6466,1511.5
0.643,15.9244,15.4838,1571.53
0.786,12.6337,9.84913,4246.95
0.3434,5.12695,2.42803,134.352
0.7606,5.53493,4.56275,3560.59
0.6842,10.1029,7.15637,2542.34
0.7232,14.1452,13.2662,2146.34
0.4828,7.52525,4.29732,1050.9
0.576,9.36738,4.35185,1362.78
0.7784,13.7643,6.67603,3693.76
0.7136,6.35523,5.9549,3387.58
0.6618,6.18145,3.97754,2630.44
0.822,20.5167,7.7477,4763.89
0.7206,15.0918,9.842,2858.85
0.6526,10.5915,5.77104,1417.73
0.6424,10.5753,5.75707,1203.6
0.7888,18.9473,10.5132,1780.61
0.8104,15.0265,7.9821,3702.8
0.772,16.7889,16.7175,1925.59
0.774,15.2718,8.36501,4441.83
0.86,24.1144,19.5628,2772.25
0.775,14.2921,10.1282,2812.44
0.75,11.3032,7.62193,3183.72
0.751,12.3608,7.19983,3063.07
0.865,27.3395,23.1844,4167.13
0.869,27.2094,25.5491,4279.41
0.8228,17.6862,16.7388,2970.22
0.7872,14.7024,11.7935,2495
0.7794,15.8149,13.6198,3148.79
0.6832,17.6314,10.0389,2035.27
0.669,5.57167,3.71325,2423.69
0.661,10.2392,5.38907,2431.84
0.7646,20.7269,7.8738,1858.6
0.8308,21.1368,18.3383,1489.85
0.6792,4.54107,3.68666,5060.73
0.754,9.81493,7.51137,3472.22
0.6858,12.8466,11.095,2061.46
0.6492,6.92889,6.03574,2633.39
0.711,15.9738,6.3885,2477.4
0.4348,5.86134,3.79303,920.978
0.735,13.8976,5.51402,2291.93
0.6486,4.79644,3.03624,1571.37
0.7706,15.8468,15.7515,2109.7
0.7486,15.7407,14.8786,2742.03
0.5742,9.06296,8.67891,1377.78
0.69,13.0436,6.77607,2533.66
0.8126,18.2148,15.5853,3256.18
0.7162,6.17897,5.38709,1834.65
0.7656,6.84524,5.44973,2556.47
0.6804,7.58494,5.23607,1889.8
0.7794,13.6167,6.49901,4258.46
0.6966,10.5015,5.22557,1276.36
0.7064,12.1419,7.10734,3308.64
0.6734,12.3701,6.46344,858.806
0.4674,8.14141,2.84709,675.577
0.7144,14.3875,6.75209,2394.72
0.6946,17.2901,12.6482,1463.62
0.7936,15.6144,13.7184,4945.62
0.7912,16.1957,14.7503,4788.47
0.8428,22.4236,6.86083,4453.33
0.6424,15.3296,4.28733,1711.14
0.699,6.57892,5.89807,2186.93
0.7544,13.2105,7.45311,3437.92
0.8214,15.7507,11.0076,4915.74
0.7352,9.08968,8.2956,3187.98
0.6286,10.9458,5.16973,2050.73
0.6698,12.7484,4.90662,2559.11
0.7308,8.49333,5.93464,2227.25
0.5456,15.2698,4.36349,1234.78
0.8068,21.8367,11.1395,4368.3
0.7444,13.8531,8.72821,2975.9
0.781,11.0402,10.0988,2482.17
0.8124,15.1012,7.95608,3787.72
0.5416,10.4603,3.75562,861.022
0.678,12.8298,5.12034,2688.78
0.727,10.0855,7.23049,2227.54
0.7162,5.15076,4.65327,2661.76
0.829,16.5482,9.24625,4349.15
0.6764,9.03703,6.62918,1983.18
0.6168,8.60977,8.56919,794.25
0.7778,18.3193,17.5552,1454.47
0.6982,12.8102,4.05785,2768.51
0.5416,6.97561,3.5531,462.093
0.8154,18.4832,9.41931,3650.16
0.6752,11.6463,2.646,1685.21
0.8042,9.16234,8.82724,4060.77
0.7292,11.5066,8.6404,3302.41
0.6928,14.6986,14.4045,1442.72
0.6736,14.2525,13.9267,1369.28
0.6146,6.03462,5.83771,1953.42
0.5884,10.4291,4.04603,926.981
0.6388,11.6655,8.26406,1476.44
0.628,13.1592,12.3614,1209.47
0.3992,4.15152,3.42748,397.99
0.7178,8.36527,6.6245,1282.4
0.67,13.2962,4.97277,1639.9
0.6186,9.52684,4.31294,684.433
0.6098,9.53742,5.44759,1155.58
0.5826,10.635,10.4191,645.516
0.775,12.5,9.04853,3340.18
0.7294,9.46149,6.72598,1899.4
0.6074,13.7392,3.23464,1428.84
0.8328,21.8234,9.06966,4647.28
0.6158,15.2577,2.90995,1261.79
0.5064,4.18455,3.46938,917.014
0.7756,19.7171,10.8356,2683.42
0.6876,15.2363,7.95854,1219.76
0.6586,15.5955,7.18908,1549.06
0.734,10.9131,6.61562,2997.95
0.6376,10.5433,3.57347,1793.12
0.7,7.33692,7.13556,2853.11
0.7144,10.8106,10.124,2944.96
0.6934,12.2945,11.9581,2156.89
0.627,7.68803,7.36383,1947.06
0.7162,12.4205,9.37645,3020.84
0.6828,10.7777,6.68804,1334.39
0.8158,10.4133,8.31604,5219.56
0.6462,13.1227,12.8815,871.007
0.674,16.0348,3.9849,2332.52
0.7024,8.86151,4.15241,2553.18
0.8556,17.0098,12.9386,5503.94
0.7254,7.6924,7.0244,3001.16
0.724,8.99031,6.43493,3133.41
0.5624,4.9876,4.51456,1492.33
0.569,12.5344,5.46518,1371.82
0.7148,11.0259,4.28602,2247.05
0.8096,15.0513,7.94511,3880.01
0.5322,9.07531,8.9508,532.875
0.6328,9.73301,9.22346,2352.94
0.8844,27.5106,14.8846,5099.19
0.8286,18.8677,11.8721,4288.89
0.9102,32.0036,17.5518,5321.22
0.7086,11.8085,11.569,2622.33
0.7538,13.9402,7.42068,3344.77
0.4932,7.06296,5.57011,333.15
0.7444,8.44,5.51406,4425.61
0.6844,5.8871,5.25211,3598.51
0.667,10.6384,6.01154,1823.65
0.7358,9.94924,7.55081,2505.16
0.5908,8.36544,4.75817,1857.73
0.7708,14.0542,6.66438,3013.21
0.6112,10.1011,9.89769,1472.72
0.7364,9.94144,7.33631,2503.93
0.5678,6.32724,4.08141,2190.65
0.5542,7.8514,5.72034,569.831
0.7816,10.3603,7.47097,4163.57
0.7646,11.0021,7.6444,3571.55
0.8166,14.7455,10.548,4068.08
0.6404,11.9689,11.0672,1648.51
0.6956,19.7987,19.3368,1714.37
0.77,14.0742,9.53484,3222.24
0.6342,4.42328,3.40802,2137.61
0.8106,13.0404,10.5352,3857.25
0.8696,18.7144,16.1732,3824.31
0.6608,8.70869,7.89064,2346.5
0.722,17.9991,10.1349,2001.01
0.697,8.09828,4.42359,3259.88
0.6772,11.7285,7.7572,2439.65
0.7372,6.25402,4.56727,4761.4
0.8398,14.2364,11.7566,4996.41
0.573,9.06209,8.39643,571.408
0.6712,12.0031,11.2085,1504.01
