Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
100000,0.8528,13.3218,10.043,6230.37
5000000,0.778,13.3149,6.32995,5688.77
500000,0.8528,13.3218,10.043,6230.37
50000,0.8528,13.3218,10.043,6230.37
1,0.7556,8.87764,7.99015,4521.13
1,0.8068,21.8367,11.1395,4368.3
40000,0.8362,15.4937,14.2536,2996.23
50000,0.8362,15.4937,14.2536,2996.23
1,0.4938,9.95261,2.53081,391.402
5000,0.6956,19.7987,19.3368,1714.37
100000,0.472,15.165,5.42937,1267.64
50000,0.472,15.165,5.42937,1267.64
10000,0.6956,19.7987,19.3368,1714.37
40000,0.472,15.165,5.42937,1267.64
1,0.873,18.9972,17.5755,3556.08
40,0.873,18.9972,17.5755,3556.08
50,0.873,18.9972,17.5755,3556.08
20,0.873,18.9972,17.5755,3556.08
3,0.873,18.9972,17.5755,3556.08
500000,0.6792,4.54107,3.68666,5060.73
1,0.6982,12.8102,4.05785,2768.51
1,0.7992,10.9331,7.2387,2264.38
100000,0.6792,4.54107,3.68666,5060.73
100000,0.7,10.4034,2.52524,1874.82
1,0.9292,23.0353,21.6072,6105.88
50,0.9292,23.0353,21.6072,6105.88
40,0.9292,23.0353,21.6072,6105.88
20,0.9292,23.0353,21.6072,6105.88
100,0.9292,23.0353,21.6072,6105.88
1,0.5018,3.39789,2.57832,5.65504
1,0.5162,3.3591,3.02269,0.848709
1,0.5156,3.45596,2.77101,19.8479
1,0.4998,3.45581,2.63965,11.7929
1,0.4882,3.505,2.45409,12.3155
10000000,0.9102,32.0036,17.5518,5321.22
500,0.7214,18.6369,3.90699,2868.16
1,0.86,24.1144,19.5628,2772.25
10000,0.7912,24.4406,23.6272,2839.17
1000,0.7214,18.6369,3.90699,2868.16
1,0.9182,29.975,15.0225,6628.79
100,0.8648,20.246,8.58384,5368.02
500,0.8648,20.246,8.58384,5368.02
3,0.9182,29.975,15.0225,6628.79
100,0.863,20.1457,8.54605,5353.8
10000,0.7924,8.53005,6.74275,4908.1
5000,0.6154,20.181,6.8654,1339.15
10000,0.7926,8.54787,6.76817,4979.11
40000,0.7556,8.87764,7.99015,4521.13
5000,0.7924,8.53005,6.74275,4908.1
10000000,0.8054,19.7952,10.4782,3486.86
1,0.8406,34.8596,34.3554,3523.86
5000000,0.8054,19.7952,10.4782,3486.86
10000000,0.9118,19.8186,17.0636,6349.95
10000000,0.6338,7.23927,6.67302,2274.52
1,0.6376,8.79938,7.37416,582.391
1,0.6168,8.60977,8.56919,794.25
10000000,0.8874,24.7893,14.092,5147.71
10000000,0.8624,27.2403,13.9632,4785.05
5000,0.7968,28.2177,27.5597,3082.47
500,0.8556,17.0098,12.9386,5503.94
10000,0.666,4.67101,3.44264,2690.15
1000,0.8556,17.0098,12.9386,5503.94
5000,0.666,4.67101,3.44264,2690.15
5000,0.7086,11.8085,11.569,2622.33
1,0.8874,24.7893,14.092,5147.71
100,0.643,15.9244,15.4838,1571.53
1,0.6876,15.2363,7.95854,1219.76
10000000,0.4882,3.505,2.45409,12.3155
500,0.643,15.9244,15.4838,1571.53
5000,0.8324,37.3405,13.0059,4240.94
10000000,0.8228,17.6862,16.7388,2970.22
10000000,0.7108,10.8507,4.21913,3845.71
500,0.7688,21.5414,12.8264,2828.28
1000,0.7688,21.5414,12.8264,2828.28
5000,0.2296,3.46694,2.90192,1.50744
5000,0.2354,3.54497,2.69613,9.74799
1000,0.525,10.2977,9.60437,693.336
40000,0.3894,8.20384,7.94678,695.037
1000,0.519,10.0468,9.57778,722.858
10000000,0.655,16.0973,3.03368,2023.58
5000,0.7816,24.1004,7.53546,3431.26
5000,0.8126,21.9666,7.7864,3146.28
1,0.7026,10.6602,2.55815,1456.16
5000000,0.655,16.0973,3.03368,2023.58
1000,0.815,13.7968,9.90606,3871.6
500,0.815,13.7968,9.90606,3871.6
1,0.7876,17.0823,7.88152,2892.17
10000,0.4938,9.95261,2.53081,391.402
1000,0.8166,14.7455,10.548,4068.08
10000000,0.86,24.1144,19.5628,2772.25
500,0.7108,10.8507,4.21913,3845.71
