Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000000,0.776,14.11,7.45371,3968.58
10000000,0.787,13.2774,7.61293,3985.35
10000000,0.7834,13.7962,7.99146,3777.11
5000000,0.776,14.11,7.45371,3968.58
5000000,0.7834,13.7962,7.99146,3777.11
10000000,0.775,11.1955,6.07261,5122.32
10000000,0.7556,13.0957,7.43748,3730.15
10000000,0.7746,11.3906,6.9563,4512
10000000,0.7876,11.7456,6.09657,5169.77
10000000,0.7844,11.4332,6.00494,5211.14
10000000,0.7786,10.7978,7.28862,5417.95
5000000,0.7786,10.7978,7.28862,5417.95
10000000,0.8028,11.3341,8.20992,5169.29
10000000,0.7974,10.3198,7.54281,5444.55
5000000,0.7974,10.3198,7.54281,5444.55
10000000,0.7934,8.54387,6.77342,5085.74
10000000,0.7926,8.54787,6.76817,4979.11
10000000,0.7924,8.53005,6.74275,4908.1
5000000,0.7934,8.54387,6.77342,5085.74
5000000,0.7926,8.54787,6.76817,4979.11
10000000,0.7,8.83543,4.89469,4918.23
10000000,0.7326,8.3495,5.13588,5084.98
5000000,0.7,8.83543,4.89469,4918.23
10000000,0.7144,12.6821,7.60887,2623.79
10000000,0.7242,12.8936,7.93773,2738.27
10000000,0.6692,9.6188,8.65235,2948.81
10000000,0.6746,9.44546,8.47192,2944.78
10000000,0.7482,9.81757,5.20485,5015.39
10000000,0.7074,6.5178,6.18035,4780.12
10000000,0.6824,10.2444,9.01949,2930.12
10000000,0.7358,9.94924,7.55081,2505.16
10000000,0.7566,10.6606,7.94571,2623.65
10000000,0.7364,9.94144,7.33631,2503.93
10000000,0.6834,10.9344,7.53577,2778.79
10000000,0.7268,9.98256,7.27933,2676.71
10000000,0.7602,10.5831,9.90235,3530.9
10000000,0.7372,6.25402,4.56727,4761.4
5000000,0.7372,6.25402,4.56727,4761.4
5000000,0.7602,10.5831,9.90235,3530.9
10000000,0.8014,15.0914,8.39804,5034.3
10000000,0.8114,13.1878,9.81049,4657.62
10000000,0.8226,12.9763,9.4474,4728.27
10000000,0.815,12.9546,9.6087,4689.52
10000000,0.8498,13.5278,8.78691,5095.35
10000000,0.8202,12.9498,9.58722,4749.95
1000000,0.8122,13.9045,9.65699,4982.37
500000,0.8122,13.9045,9.65699,4982.37
10000000,0.815,13.7968,9.90606,3871.6
500000,0.8498,13.5278,8.78691,5095.35
500000,0.8226,12.9763,9.4474,4728.27
10000000,0.829,16.5482,9.24625,4349.15
10000000,0.8028,15.5323,10.4817,4299.13
10000000,0.774,15.2718,8.36501,4441.83
5000000,0.829,16.5482,9.24625,4349.15
10000000,0.8104,15.9496,10.3936,4229.57
10000000,0.8326,14.4419,10.2051,4708.57
10000000,0.8038,16.1525,9.49143,4878.38
10000000,0.787,15.5563,9.00897,3941.72
10000000,0.8214,15.7507,11.0076,4915.74
10000000,0.7474,13.2648,11.3344,3898.11
10000000,0.7402,12.571,10.8274,2773.67
10000000,0.775,14.2921,10.1282,2812.44
10000000,0.7696,12.9492,9.87431,3796.8
10000000,0.7374,12.6133,10.849,2716.19
10000000,0.77,14.0742,9.53484,3222.24
10000000,0.8226,14.2439,11.557,3642.38
10000000,0.745,15.7146,10.8658,3234.44
5000000,0.8226,14.2439,11.557,3642.38
10000000,0.7876,15.2027,12.4876,3813.84
5000000,0.745,15.7146,10.8658,3234.44
10000000,0.8224,13.738,11.4264,4618.32
10000000,0.8394,12.9956,11.5941,4816.02
10000000,0.8398,12.3692,10.8675,5199.04
10000000,0.8714,16.9089,11.0684,4944.29
10000000,0.8398,14.2364,11.7566,4996.41
10000000,0.8286,18.8677,11.8721,4288.89
10000000,0.8528,13.3218,10.043,6230.37
5000000,0.8286,18.8677,11.8721,4288.89
10000000,0.832,11.3854,11.1242,4292.99
10000000,0.8538,18.4206,9.23563,5001.08
10000000,0.8154,18.4832,9.41931,3650.16
10000000,0.8128,18.5189,8.56409,4455.72
5000000,0.8154,18.4832,9.41931,3650.16
10000000,0.8002,18.8394,7.96401,4071.57
10000000,0.8054,19.7952,10.4782,3486.86
10000000,0.8266,21.4982,9.22584,4487.44
10000000,0.8898,19.2341,9.51535,4716.4
10000000,0.7844,16.3794,5.99724,4587.82
5000000,0.8266,21.4982,9.22584,4487.44
10000000,0.8462,21.6241,10.9231,4179.02
10000000,0.7874,21.8801,9.52705,3994.65
10000000,0.7778,21.1029,10.0936,3727.96
10000000,0.8662,17.2398,11.9478,5633.74
10000000,0.7964,21.3137,10.2369,3783.82
10000000,0.778,13.3149,6.32995,5688.77
500000,0.8662,17.2398,11.9478,5633.74
10000000,0.7936,15.6144,13.7184,4945.62
10000000,0.7212,16.8024,4.60613,3604.43
1000000,0.8662,17.2398,11.9478,5633.74
10000000,0.7672,17.1677,6.7332,3636.01
10000000,0.86,14.9209,13.2604,5140.9
10000000,0.8544,14.9132,13.243,5192.05
10000000,0.8506,14.2292,13.1937,5299.5
10000000,0.8698,14.3167,13.3795,4748.26
10000000,0.8556,17.0098,12.9386,5503.94
10000000,0.7092,16.3651,5.22924,2929.78
10000000,0.711,15.9738,6.3885,2477.4
10000000,0.8176,14.2106,13.622,4254.04
10000000,0.713,16.2874,5.21999,2960.89
10000000,0.7124,16.3101,5.22559,2966.28
10000000,0.6626,14.9857,9.18322,2293.15
10000000,0.8068,21.8367,11.1395,4368.3
10000000,0.7822,20.1712,6.28286,3773.78
5000000,0.6626,14.9857,9.18322,2293.15
10000000,0.8222,15.8333,12.7086,4151.64
500000,0.7614,18.775,6.41603,3636.25
100000,0.7614,18.775,6.41603,3636.25
1000000,0.7614,18.775,6.41603,3636.25
10000000,0.6548,11.7477,8.70516,1758.54
10000000,0.8198,20.2591,7.7782,4794.14
10000000,0.7876,17.0823,7.88152,2892.17
10000000,0.8648,20.246,8.58384,5368.02
10000000,0.863,20.1457,8.54605,5353.8
