Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000000,0.6358,6.31717,4.2524,2625.93
5000000,0.6316,6.11234,4.00379,2665.5
10000000,0.6126,6.32885,4.07784,2359.4
5000000,0.6358,6.31717,4.2524,2625.93
5000000,0.6126,6.32885,4.07784,2359.4
10000000,0.608,6.49481,4.4278,2279.51
10000000,0.6546,5.39674,3.78301,2581.72
10000000,0.621,6.65732,4.64818,2360.27
5000000,0.6546,5.39674,3.78301,2581.72
10000000,0.6452,6.01546,4.14091,2334.36
5000000,0.6284,6.09672,4.22892,2481.08
10000000,0.6456,5.81598,3.9573,2246.27
10000000,0.6568,5.10002,3.64368,2928.3
10000000,0.6554,5.27825,3.53087,2251.03
10000000,0.666,4.67101,3.44264,2690.15
5000000,0.6568,5.10002,3.64368,2928.3
10000000,0.6646,4.90132,3.779,2876.54
5000000,0.666,4.67101,3.44264,2690.15
10000000,0.672,5.23856,4.20025,3003.39
10000000,0.655,6.14583,4.4748,3052.86
10000000,0.6562,6.11311,4.49275,3091.21
5000000,0.6562,6.11311,4.49275,3091.21
5000000,0.655,6.14583,4.4748,3052.86
10000000,0.6658,5.83271,4.11171,2905.8
10000000,0.6796,6.09263,4.09444,3192.37
10000000,0.6368,6.64209,5.02845,3141.59
5000000,0.6796,6.09263,4.09444,3192.37
10000000,0.663,7.10434,4.41446,3109.67
10000000,0.6402,6.75364,5.16047,3156.46
10000000,0.6498,6.88443,4.8384,3352.39
5000000,0.6498,6.88443,4.8384,3352.39
10000000,0.6758,6.38663,4.81205,3070.95
10000000,0.6814,6.80411,4.91458,3120.72
10000000,0.6748,6.43284,5.09662,3066.64
10000000,0.6874,6.38657,4.98443,3275.69
10000000,0.6666,6.1215,5.54396,3341.42
10000000,0.6962,6.38992,4.78581,3496.86
10000000,0.675,7.20985,4.99864,3227.93
10000000,0.699,6.56163,5.01898,3400.01
10000000,0.6996,5.77537,4.11633,3339.3
10000000,0.6944,5.815,4.76876,3641.46
10000000,0.6844,5.8871,5.25211,3598.51
5000000,0.6944,5.815,4.76876,3641.46
5000000,0.6874,6.38657,4.98443,3275.69
10000000,0.6944,6.83932,5.17767,3737.18
10000000,0.7038,5.90111,4.73838,3436.94
5000000,0.6944,6.83932,5.17767,3737.18
5000000,0.6844,5.8871,5.25211,3598.51
10000000,0.711,6.848,5.25293,3637.09
10000000,0.6944,6.62054,6.03585,3654.03
10000000,0.693,6.7853,6.06191,3613.74
10000000,0.7098,7.18408,5.4183,3742.25
10000000,0.6962,7.58377,5.1021,3558.48
10000000,0.7066,7.3374,5.72246,3652.82
10000000,0.6988,7.36512,5.79316,3472.7
10000000,0.7026,7.33818,5.78241,3514.13
10000000,0.7014,7.38156,5.81733,3536.85
10000000,0.7016,7.45968,5.41366,3492.12
