P,VF,LCD,PLD,SA,y,Nearest_P,Nearest_VF,Nearest_LCD,Nearest_PLD,Nearest_SA,Nearest_y
6728.714102122702,0.6154107883780591,6.837472936248024,5.958461959888624,1717.272834168537,2.300297,5000.0,0.6228,5.62028,4.9456,1718.22,1.5074477375717144
35.263469482216095,0.4174576421117763,4.3110806121957825,3.801766378732793,281.51829985297,0.01053257,40.0,0.4222,4.30684,3.71246,281.135,0.0325514443878065
76924.40600459599,0.7214739646681397,13.230026226367748,6.214535966016286,2620.594930107116,5.9198513,100000.0,0.7144,12.6821,7.60887,2623.79,13.189525291648453
56445.89711741319,0.5206368669529512,5.551204553351041,4.459492654840022,591.4466275603057,35.68014,50000.0,0.4902,5.71457,4.11763,592.009,24.58579051433109
19048.089209942023,0.835520819797203,25.692199470971246,17.13105040784483,3192.8709473978997,1.8348829,10000.0,0.8358,25.6855,17.1242,3194.1,0.9731019809070476
13.232613583006064,0.6113791039491309,5.920871720335162,5.177537585853512,1649.3916121341774,0.0036300845,10.0,0.6294,5.52619,4.96961,1649.71,0.0030792708463825
6.750191466310504,0.6649499243561908,11.863514275326155,11.22546667411964,1499.8150446944915,0.0004197098,5.0,0.6478,10.3631,10.2313,1498.37,0.0006213807252419
1.8187236191916283,0.7403658109260377,10.113380309997908,8.384544154383983,3598.83468259141,0.00081158,1.0,0.7546,8.31266,6.47199,3597.46,0.000220200100508
52970.54736413298,0.4099619454212789,3.673767447580083,3.1541813874912337,62.18410234095904,0.32445064,50000.0,0.4118,3.80006,3.21073,62.3029,0.0440317543163498
556038.2115281239,0.5093642660567664,5.57331196672774,3.58674561438072,808.2115065708887,47.479385,500000.0,0.5618,5.81126,3.29675,808.707,51.44490399049092
46.28642654746595,0.5503262636781764,5.70430512090802,4.119044259633897,883.3472337096262,0.0019275761,50.0,0.5396,5.3327,4.51343,883.622,0.0131325039603082
3649.090703370677,0.7157923683391401,8.223232163928445,5.208315344661185,3570.6781063642,0.2066645,5000.0,0.7646,11.0021,7.6444,3571.55,0.9933631235810924
14.068434364808722,0.8948371104147469,25.144560561250536,14.222351839714381,5206.637128561724,0.0017873718,10.0,0.8942,19.8654,14.5686,5195.22,0.001218021675918
1441309.7713187924,0.6677236165307282,5.98617829066319,5.870803038690506,2098.9431036489877,105.64815,1000000.0,0.6446,5.47631,4.61623,2099.06,130.50725553399016
6413.58541959512,0.8056293533460706,14.982155684714758,8.007953044326856,3793.2517726593414,0.54987437,5000.0,0.8032,15.0997,7.93483,3790.06,0.4301216918277114
516526.1317749796,0.514293622253318,10.368569073071226,9.709846451563736,692.5591813061783,44.677025,500000.0,0.525,10.2977,9.60437,693.336,42.37636304428198
38.43479553759478,0.6786367910685156,12.956173804564607,4.88218822430128,2734.0033692171573,0.02041788,40.0,0.696,13.0545,5.12975,2735.39,0.0175501382245241
654.4702622883733,0.5809286582453479,9.34975728303796,3.8767579601606483,1416.1447594279227,0.64120257,500.0,0.6166,8.41895,4.83802,1416.47,0.0536445157470885
53.07418820502841,0.6566975036450491,9.604988347067986,7.921116766682314,1535.010063684388,0.011590354,50.0,0.5818,9.71572,8.15204,1534.27,0.0097899506721532
3.4752271001670416,0.9693999985196053,54.27544128691139,28.186679874277083,8054.439778408774,0.0010200981,3.0,0.9694,54.2762,28.1736,8054.44,0.0005557079437623
54916.209949501215,0.5486675700973537,5.6826974744681955,4.028194476450158,866.5256423998526,2.8761172,50000.0,0.4728,5.96532,3.96258,866.452,18.354947399442352
67.89723889309384,0.5211471493253018,4.14856609581099,2.891999848354263,319.28834332823703,0.0033839075,50.0,0.5446,4.54871,2.8928,319.644,0.0124158582539079
5838256.503145977,0.375522518197202,4.38973139664965,3.043527243400743,195.01010043860367,36.733902,5000000.0,0.4288,4.25977,2.7511,195.667,34.26223747625804
1.463569621860778,0.5236175995189439,6.346498286738244,4.346608341813398,930.3825519044321,0.00023430226,1.0,0.506,6.3031,3.72946,930.932,0.0007743206029528
5.186254049345134,0.37951442384842443,3.897786164845206,3.366576773382787,54.97339624181609,2.7255393e-05,5.0,0.4604,3.51375,2.9479,54.9052,0.000166534282216
47.78528982482188,0.7100076492047993,6.393680610007987,6.405471103727882,2363.565536328202,0.0052795177,50.0,0.6786,9.09773,7.66595,2362.06,0.0103017465692695
48.86961365855396,0.7680679477662319,16.47667668582637,16.286172511295714,1968.2392215458972,0.006183417,50.0,0.7588,16.8437,16.7642,1965.54,0.0065797688159993
21.000386461845387,0.8116075883523737,16.5419186627921,10.543768581821467,4718.23601503431,0.0036480664,20.0,0.8898,19.2341,9.51535,4716.4,0.0008003914270327
23048.667086860773,0.8505765904208384,35.89232091320679,35.460700383560685,3216.6301545027045,3.2135072,10000.0,0.82,30.7006,30.1441,3192.07,2.088130042069833
9666578.943437401,0.8037254295108391,9.90455121091949,6.971131863606621,3457.856969199176,210.148,10000000.0,0.7576,14.1997,6.54893,3453.0,360.9197838026603
25.995823294344955,0.5689192574890304,7.891441531755017,6.414630636547503,1155.8341041196618,0.04456547,20.0,0.5282,6.33252,5.73011,1155.91,0.0064257733572662
474052.85398596514,0.5805460540926479,5.809173859592721,3.835355195576367,1448.942531990816,78.36169,500000.0,0.6802,5.98461,4.76477,1448.74,7.040188756954247
53.27114640619335,0.775712083012497,11.611471273540374,5.6309343544231165,5140.775410441968,0.0128565915,50.0,0.7608,10.4297,5.27481,5138.64,0.0134509509358271
40791.837695441056,0.6591828692245376,8.369581955565812,6.6320789095937505,2821.48381729213,9.853168,40000.0,0.702,7.54994,6.22752,2819.83,10.119735627684069
