CIFNAME,smiles_nodes,smiles_linkers,topology
ELILIV_clean,[Tm],[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],UNKNOWN
ELIYUU_clean,Cl[Zn];[Zn],[O]P(=O)(CN(CP(=O)([O])[O])CP(=O)([O])[O])O,hcb,UNKNOWN
ELOGUJ_clean,[Co];[O];[V];[W],c1ncn(c1)c1ccc(cc1)n1cncc1,UNKNOWN
ELOHOE_clean,[Cd],[O-]C(=O)c1ccc(cc1)C(=O)[O-];c1cc(C=Cc2ccncc2)cc(c1)C=Cc1ccncc1,ERROR
ELOXIN_clean,[Sr][OH2][Sr],[O-]C(=O)C[NH](CC(=O)[O-])CC[NH](CC(=O)[O-])CC(=O)[O-],UNKNOWN
ELUJAY_clean,[Sm];[Zn],[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-];[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],UNKNOWN
ELUZES_clean,[Ag];[Ag][Ag][Ag][Ag];[Cd],[C]#N,ERROR
EMAFII_charged,[Ag],Cc1cc([n-]n1Cc1ccc(c2c1cccc2)Cn1[n-]c(cc1C)C)C,srs
EMAGAB_clean,[Zn],C1=CN([CH][N]1)c1ccc(cc1)n1ccnc1;[O]P(=O)([O])[O];c1ncn(c1)c1ccc(cc1)n1cncc1,sod
EMAMOW_clean,[Ni],[O-]C(=O)C=CC=CC(=O)[O-];n1ccc(cc1)C=Cc1ccncc1,neb
EMAMUC_clean,[Ni],[O-]C(=O)C=CC=CC(=O)[O-];n1ccc(cc1)[N][N]c1ccncc1,neb
EMANAH_clean,[Cd];[In],[O-]C(=O)C(=O)[O-],ERROR
EMAPAK_clean,[Zn],CC1=NC=C[N]1,sod
EMEJUD_clean,[Co],CCCCCCCCCOc1ccc(cc1)c1cc(nc(c1)c1ccncc1)c1ccncc1,dia
EMICUZ_clean,[Cd],[O-]C(=O)c1cc(cc(c1)n1cncc1)n1cncc1;[O-]C(=O)c1ccc(cc1)C(=O)[O-],ins,bey
EMIFOW_clean,[S][In]1S[In]2S[In]([S])S[In]3S[In]4S[In](S1)S[In]1S[In](S2)S[In](S1)S[In](S4)S3,C1=C[N]C=N1,dia
EMIGIR_charged,[S][In]1S[In]2S[In]3S[In](S2)S[In]2S[In]4S[In](S1)S[In]1[S]4[In](S[In](S3)S1)S2,C1=[C][N]C=N1;CC1=NC=N[CH]1,dia
EMIGOX_clean,[S][In]1S[In]S[In]([S])S[In]2S[In]3S[In](S1)S[In]1[S]3[In](S2)S[In]S1,c1ccc2c(c1)N=C[N]2,dia
EMIGUD_charged,[S][In]1S[In]2S[In]3S[In](S2)S[In]2S[In]4S[In](S1)S[In]1[S]4[In](S[In](S3)S1)S2,Cc1ccc2c(c1)N=C[N]2;Cc1ccc2c(c1)[N]C=N2,dia
EMIHAK_charged,[S][In]1S[In]2S[In]([S])S[In]3S[In]4S[In](S1)S[In]1S[In](S2)S[In](S1)S[In](S4)S3,Cc1cc2N=C[N]c2cc1C,dia
EMIYEF_clean,[Co];[Mo];[O],Nn1c(nnc1c1cccnc1)c1cccnc1,UNKNOWN
EMODOZ_clean,[Zn],[O]P(=O)([O])[O],UNKNOWN
EMOFIX_clean,[Zn],C(Cn1cncc1)CCn1cncc1;[O-]C(=O)c1cc(OCCCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],kgm,UNKNOWN
EMOHIZ_clean,[Co],C(Cn1cncc1)CCn1cncc1;[O-]C(=O)c1cc(OCCCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],kgm,UNKNOWN
EMOSOO_clean,[Zn],[O]P(=O)([O])[O],UNKNOWN
EMOSOP_clean,*,,NA
EMUBIZ_clean,I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I;[Cu][Cu],[O-]C(=O)c1cncc(c1)C(=O)[O-],mmm
EMUBOF_clean,[Cu][Cu];[Cu][Cu](I)I,[O-]C(=O)c1cncc(c1)C(=O)[O-],tbo
EMUVAL_clean,[Sm],[O-]C(=O)C(=O)[O-];[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],ERROR
EMUYAM_clean,[Ag]1[Ag][Ag]1;[Fe],[C]#N,stp
ENAFAB_clean,[Ni];[O];[W],C(Cc1ccncc1)Cc1ccncc1;[O]P(=O)([O])[O],UNKNOWN
ENANIS_clean,[Cu],[O-]C(=O)c1ccc(cc1)n1ncnc1,dia
ENESOH_clean,[Cu],O=C(Cn1cnnn1)Nc1cccnc1,lvt
ENESUN_clean,[Co],O=C(Cn1cnnn1)Nc1cccnc1,lvt
ENIHUG01_clean,[Cu][Cu],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(nc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],nbo,fof
ENIHUG_clean,[Cu][Cu],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(nc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],nbo,fof
ENISOK_clean,[Cd],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],UNKNOWN
ENISUQ_clean,[Mn],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],UNKNOWN
ENITAX_clean,[Cu][Cu],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],pts
ENITEB_clean,[Cd],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],kgd
ENITIF_clean,[Zn],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],UNKNOWN
ENITOL_clean,[Zn],[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],UNKNOWN
ENIXUV_clean,Cl[Mn](Cl)Cl;Cl[Mn]Cl;[Mn],Cl[Mn]123(Cl)[N]4=C5C=CC4=C(c4n2c(C(=C2[N]1=C(C=C2)C(=c1n3c(=C5c2cccnc2)cc1)c1cccnc1)c1cccnc1)cc4)c1cccnc1;c1ccc(cn1)C1=C2C=CC(=C(c3cccnc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1cccnc1)[N]4)c1cccnc1)C=C3)[N]2,ERROR
ENOSAD_clean,[Tm],[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)O)C(=O)[O-])cc(c1)C(=O)[O-],UNKNOWN
ENOVAG_clean,[Nd],[O-]C(=O)C1=CC=C([CH]N1)C(=O)[O-];[O-]C(=O)c1ccc(cn1)C(=O)[O-],UNKNOWN
ENUCOG_clean,[Cd];[Ni],[O-]C(=O)CC(=O)[O-],UNKNOWN
EPAGEJ_clean,[Gd]12[O]3[Gd]4[O]2[Gd]2[O]1[Gd]3[O]42,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-];[O-]C(=O)c1cccnc1c1ncccc1C(=O)[O-],ERROR
EPECEJ_clean,[Zn][OH]1[Zn][OH]([Zn]1)[Zn],[O-]C(=O)c1ccc(c2c1C1c3ccccc3C2c2c1cccc2)C(=O)[O-],pcu
EPECIN_clean,[Zn][O]([Zn])([Zn])[Zn],[O-]C(=O)c1ccc(c2c1C1c3ccccc3C2c2c1cccc2)C(=O)[O-],pcu
EPEWAY_clean,[Co],O=C1NCCN1;[O-]C(=O)c1ccc(cc1)C(=O)[O-],UNKNOWN
EPEWEC_clean,[Co],O=C1NCCN1;[O-]C(=O)c1ccc(cc1)C(=O)[O-],UNKNOWN
EPEYAB_clean,[Cu][Cu],[O-]C(=O)c1cc(cc(c1)N1Cc2c(C1=O)cccc2)C(=O)[O-],nbo
EPISOM_clean,[Cu][Cu],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)C(c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])(c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],scu,mmm
EPOPEG_clean,[Cu],n1ncn(c1)n1cnnc1,pcu
EPOTAF_clean,[Cu][Cu],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],sql
EPOXAJ_clean,[O];[U],[O-]C(=O)C(CC(=O)[O-])(CC(=O)[O-])[O],UNKNOWN
EPUJIJ_clean,[Pr],[O-]C(=O)CC(=O)[O-],ERROR
EPUVAN_charged,[Gd],[O]C1=C[CH]N(C=C1)Cc1c(C)c(CN2[CH]C=C(C=C2)[O])c(c(c1C)CN1[CH]C=C(C=C1)[O])C;[O]C1=C[CH]N(C=C1)Cc1c(C)c(Cn2ccc(=O)cc2)c(c(c1C)Cn1ccc(=O)cc1)C,ERROR,UNKNOWN
EPUXET_clean,[Cd],C(Cc1ccncc1)Cc1ccncc1;[O-]C(=O)CC12CC3CC(C1)CC(C2)(C3)CC(=O)[O-],ERROR
EQAMUG_clean,[Nd],O=N(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-];[O-]C(=O)C1=[C]C(=C([C]=C1N(=O)=O)C(=O)[O-])N(=O)=O,ERROR
EQERAU_clean,[Mg][OH]1[Mg][OH]([Mg]1)[Mg],[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],kgd
EQEREY_clean,[Co],C1=N[CH]C(=N1)c1cc(cc(c1)C1=CN=C[N]1)C1=CN=C[N]1;N1=C[N]C(=C1)c1cc(cc(c1)C1=CN=C[N]1)C1=CN=C[N]1,UNKNOWN
EQERIC_clean,[Co],C1=N[CH]C(=N1)c1cc(cc(c1)C1=CN=C[N]1)C1=CN=C[N]1;C1=N[CH]C(=N1)c1cc(cc(c1)C1=CN=C[N]1)C1=NC=N[CH]1;N1=C[N]C(=C1)c1cc(cc(c1)C1=CN=C[N]1)C1=CN=C[N]1,crb,cpv
EQEROJ_clean,[Zn],[O-]C(=O)C1C(C(=O)[O-])C(C1C(=O)[O-])C(=O)[O-];n1ccc(cc1)CCc1ccncc1,UNKNOWN
EQETAX_clean,[Cu],[O-]C(=O)c1cc(cc(c1)c1ccncc1)c1ccncc1,UNKNOWN
EQOCES01_clean,[Co],C1=C[N]C=N1;C1=N[CH]C=N1,cag
EQOCES_clean,[Co],C1=C[N]C=N1;C1=N[CH]C=N1,neb
EQOCIW_clean,[Co],C1=C[N]C=N1,neb
EQOXIT_clean,*,,NA
EQUBUO_clean,[Gd]12[OH]3[Gd]4[OH]2[Gd]2[OH]1[Gd]3[OH]42,[O-]C(=O)c1cccc(c1)S([O])([O])[O],llj
EQUCOI_clean,[Sc]1O[Sc]O1;[Sc]O[Sc],[O]P(=O)(O)[O];[O]P(=O)([O])[O],UNKNOWN
EQUNEL_clean,[In][O]([In])[In],[O-]C(=O)c1cc(C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],soc,edq
EQUNIP_clean,[In];[In][O]([In])[In],[O-]C(=O)c1cc(C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],UNKNOWN
ERAHOV_clean,Br[Au]Br;[Co],[C]#N;n1ccc(cc1)c1ccncc1,ERROR
EREFEN01_SL,[Zn][Zn],[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-];c1ccc(cc1)N=Nc1cnccc1c1ccncc1,pcu
EREGOY_clean,[Cd],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],dia
ERELIX_clean,Br[Au]Br;[Zn],[C]#N;n1ccc(cc1)c1ccncc1,ERROR
ERIGER_clean,[Ag],O(CC(n1[n-]ccc1)(n1[n-]ccc1)n1[n-]ccc1)Cc1ccc(cc1)COCC(n1[n-]ccc1)(n1[n-]ccc1)n1[n-]ccc1,UNKNOWN,etb
ERIJUM_clean,[Ag],n1ccncc1,ERROR
ERIWAF_clean,*,,NA
EROCIZ_clean,[U][O]1[U][O]([U]1)[U],[O-]C(=O)c1cccc(c1)C[NH2]CCCC[NH2]Cc1cccc(c1)C(=O)[O-],pcu
ERUFUS_clean,[Cd],[S]C#N;n1ccc(cc1)c1nnc(s1)c1ccncc1,pcu
ERULEK_clean,[Zn][Zn],Cn1nc(nc1c1ccc(cc1)n1cncc1)c1cccc(c1)[N]12[CH]N3C4C1C2C34;[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],pcu
ERUNIQ_clean,[Co][OH]1[Co]2[OH]([Co])[Co]3[O]42[Co]1[OH]([Co]4[OH]3[Co])[Co],[O-]C(=O)c1ccncc1,ERROR
ERUVEU_clean,*,,NA
ESANET_clean,Cl[Cd];[Cd],N(CC1=NN=N[N]1)CC1=NN=N[N]1,UNKNOWN
ESARAT_clean,[Zn],Cc1nccn1CCCCCn1ccnc1C;[O]N(N(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],bpq,fly
ESAROH_clean,[Zn][Zn],CCc1nccn1CCCCCn1ccnc1CC;[O]N(N(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],bpq,fly
ESARUN_clean,[Zn],C(CCn1cncc1)CCCn1cncc1;[O]N(N(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],UNKNOWN
ESASAU_clean,[Zn][Zn],CCc1nccn1CCCCCCn1ccnc1CC;[O]N(N(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],bpq,fly
ESASEY_clean,[Zn][Zn],Cc1nccn1CCCCCCn1ccnc1C;[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],bpq,fly
ESEDIQ_clean,[Zn],[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],dia
ESEHIV_clean,[Cu],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-];c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1,UNKNOWN
ESEQUO_clean,[Co],[O-]C(=O)c1ccc(cc1)C(=O)[O-];[O]CC[O],pcu
ESEVIH_clean,[Zn][OH][Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],llj
ESIDOB_clean,[In];[OH],O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],rna
ESIFET_clean,*,,NA
ESIGES01_clean,[Zn],[O-]C(=O)c1ccc(cc1)C(=O)[O-];[O]P(=O)(O)[O];[O]P(=O)([O])O,UNKNOWN
ESIGES02_clean,[Zn],[O-]C(=O)c1ccc(cc1)C(=O)[O-];[O]P(=O)(O)[O],UNKNOWN
ESIGES_clean,[Zn],[O-]C(=O)c1ccc(cc1)C(=O)[O-];[O]P(=O)(O)[O],UNKNOWN
ESIWAF_clean,F[Al];[Al],[O]P(=O)([O])[O],cha
ESUMOU01_clean,[Mn],[O-]C(=O)COCC(=O)[O-],UNKNOWN
ESUMOU_clean,[Mn],[O-]C(=O)COCC(=O)[O-],UNKNOWN
ESURER01_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESURER02_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESURER03_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESURER04_clean,[Co];[OH],[O-]C(=O)C1=CC2=NN=N[C]2C=C1;[O-]C(=O)C1=CC=C2C(=NN=N2)[CH]1,UNKNOWN
ESURER_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUSAO01_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUSAO_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUSIW_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUSOC01_clean,[Co];[OH],[O-]C(=O)C1=CC=C2C(=NN=N2)[CH]1;[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUTAP_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUTIX_clean,[Co];[OH],[O-]C(=O)C1=CC2=NN=NC2=C[CH]1;[O-]C(=O)C1=CC=C2C(=NN=N2)[CH]1;[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)C1=C[C]2C(=NN=N2)C=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1;[O-]C(=O)c1ccc2c(c1)[N]N=N2,UNKNOWN
ESUVAR01_clean,[Co];[OH],[O-]C(=O)C1=CC=C2C(=NN=N2)[CH]1;[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUVAR02_clean,[Co];[OH],[O-]C(=O)C1=CC2=NN=NC2=C[CH]1;[O-]C(=O)C1=CC2=NN=N[C]2C=C1;[O-]C(=O)c1ccc2c(c1)[N]N=N2,UNKNOWN
ESUVAR_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ESUVOF_clean,[Co];[OH],[O-]C(=O)C1=C[CH]C2=NN=NC2=C1;[O-]C(=O)c1ccc2=N[N]N=c2c1,UNKNOWN
ETAXIH_clean,[Zn];[Zn][O]([Zn])[Zn],CCCC1=NC(=C([N]1)C(=O)[O-])C(=O)[O-];CCCC1=N[C](C(=N1)C(=O)[O-])C(=O)[O-],UNKNOWN
ETAXUT_clean,[Zn][O]([Zn])([Zn])[Zn],[O-]C(=O)C1=C[CH]C(=C=[C]C#Cc2ccc(cc2)C(=O)[O-])C=C1;[O-]C(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)C(=O)[O-],pcu
ETECIR_clean,[In],[O-]C(=O)C(=O)[O-],ERROR
ETECOX_clean,[In],[O-]C(=O)C(=O)[O-],ERROR
ETEJIX01_clean,[La],[O-]C(=O)C1=[C]C(=C([C]=C1[O])C(=O)[O-])[O];[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],pcu
ETEJIX_clean,[La],[O-]C(=O)C1=[C]C(=C([C]=C1O)C(=O)[O-])O;[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEJOD01_clean,[Nd],[O-]C(=O)C1=[C]C(=C([C]=C1[O])C(=O)[O-])[O];[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEJOD_clean,[Nd],[O-]C(=O)c1c(O)c(O)c(c(c1O)O)C(=O)[O-];[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEJUJ_clean,[Sm],[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEKAQ01_manual,[Gd],O=C(c1cc(O)c(cc1O)C(=O)[O-])OOC(=O)c1cc(O)c(cc1O)C(=O)[O-];[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEKAQ_clean,[Gd],[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEKEU_clean,[Er][Er],[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],pcu
ETEMIB_clean,[Co][OH]1[Co][OH]([Co]1)[Co],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-];n1ncn(c1)Cc1ccc(cc1)Cn1cnnc1,UNKNOWN
ETEPID_clean,[Rb]1[O]2[O]1[Rb]2,O=C1N2CN3C(=O)N4C5C3N3CN6C2C2N1CN1C(=O)N7C8C1N(CN2C6=O)C(=O)N8CN1C2N(C7)C(=O)N6C2N(C1=O)CN1C2N(C6)C(=O)N6C2N(C1=O)CN1C2C7N(CN8C(=O)N(C4)C4N(CN5C3=O)C(=O)N(C84)CN7C1=O)C(=O)N2C6,dia
ETEQUQ_clean,O1[Mo]23[Mo]41[O]3[Mn]135([O]6[Mo]7(O2)O[Mo]67O[Mo]26[Mo](O4)([O]12)O6)[O]1[Mo]24[Mo]1(O4)O[Mo]14[O]3[Mo]1(O4)O[Mo]13[O]5[Mo]1(O2)O3;[Mn],[O]P(=O)([O])[O],UNKNOWN
ETESIG_clean,[Cd],C(Cc1ccncc1)Cc1ccncc1;[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-];[O]S(=O)(=O)[O],bcu
ETEXEI01_clean,[Zn],[O]P(=O)[O],UNKNOWN
ETEXEI_clean,[Zn],[O]P(=O)[O],UNKNOWN
ETICIV_clean,[Cd],[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-];n1cc(cc(c1)c1nc2c([nH]1)ccnc2)c1nc2c([nH]1)ccnc2,ERROR
ETIXEM_clean,[Zn][Zn],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-];c1ccc2c(c1)C1(C#Cc3ccncc3)c3c(C2(C#Cc2ccncc2)c2c1cccc2)cccc3,pcu
ETIXIQ_clean,[Zn][Zn],[O-]C(=O)C12c3ccccc3C(c3c1cccc3)(c1c2cccc1)C(=O)[O-];c1ccc2c(c1)C1(C#Cc3ccncc3)c3c(C2(C#Cc2ccncc2)c2c1cccc2)cccc3,pcu
ETUWEW_clean,[Sm],[O-]C(=O)C(=O)[O-],ERROR
ETUWIA_clean,[Y],[O-]C(=O)C(=O)[O-],ERROR
ETUWOG_clean,[Co],[O-]C(=O)c1ccc(cc1)C(=O)[O-],UNKNOWN
ETUXEW_clean,[Zn],[O]P(=O)[O],UNKNOWN
EVADIQ_clean,[Dy][Dy],[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-],ERROR
EVAKIV_clean,[Cu],C1Cc2nnc3c4c2c(C1)nnc4CCC3,sod
EVAKOB_charged,[Cu],C1Cc2nnc3c4c2c(C1)nnc4CCC3,sod
EVEGER_clean,[Mn];[Yb],[O-]C(=O)c1cccc(n1)C(=O)[O-],UNKNOWN
EVEGIV_clean,[Cu],O=[C]1=NC=CC=N1,sod
EVEGOB_clean,[Cu],O=[C]1=N[C]=[C][C]=N1,sod
EVEGUH_clean,[Cu],O=[C]1=N[C]=[C][C]=N1,sod
EVIMUT_clean,,,NA
EVOMOR01_clean,[Mn],[O-]C(=O)CCC(=O)[O-];n1ccc(cc1)c1ccncc1,ERROR
EVOMOR_clean,[Mn],[O-]C(=O)CCC(=O)[O-];n1ccc(cc1)c1ccncc1,ERROR
EVUBAY_clean,[Zn],[O-]C(=O)c1ccc(cc1)CP(=O)([O])[O],ant
EVUDAA_clean,[Cd],[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],flu
EVUMUE_clean,[La];[Zn],[O-]C(=O)C(=O)[O-];[O-]C(=O)C1=NC=N[C]1C(=O)[O-],ERROR
EVUNAL_clean,[Nd];[Zn],[O-]C(=O)C(=O)[O-];[O-]C(=O)C1=NC=N[C]1C(=O)[O-],ERROR
EVUNEP_clean,[Sm];[Zn],[O-]C(=O)C(=O)[O-];[O-]C(=O)C1=NC=N[C]1C(=O)[O-],ERROR
EVUNOY_clean,[Cd],[C]#N,apo
EVUPOC_clean,[Nd],[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],sql
EVUQOC_clean,[La],Nc1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],UNKNOWN
EVUQUI_clean,[Nd],Nc1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],UNKNOWN
EVURAP_clean,[Ce],Nc1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],UNKNOWN
EWECOY_clean,[Cd],[O-]C(=O)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-];[O-]C(=O)C1=[C][C]=C([C]=[C]1)C(=O)[O-],UNKNOWN
EWESAC_clean,[Zn],O=C(c1ccncc1)NN=Cc1ccncc1;[O-]C(=O)c1ccc(cc1)C(=O)[O-],pcu
EWEWUZ_charged,[Ag];[Fe],[O-]C(=O)c1cnccn1,UNKNOWN
EWIDUK_SL,[Zn],CC1=NC=C[N]1,sod
EWIMIH_charged,[OH2][Mn],[O-]C(=O)C(=O)[O-];n1ccc(cc1)C=Cc1ccncc1,ERROR
EWIPIL_clean,[Zn],[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-],sql
EWUCOP_clean,[Cu][Cu],[O-]C(=O)c1cc(cc(c1)n1cnnn1)C(=O)[O-],rtl,sql
EWUGEK_clean,[Cd],[O-]C(=O)C1CCN(CC1)C1=NC(=[N]=C([N]1)N1CCC(CC1)C(=O)[O-])N1CCC(CC1)C(=O)O,UNKNOWN
EWUKAK_clean,[Co][O]([Zn])[Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],sab
EWUKEO_clean,[Co][O]([Zn])[Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],qnb
EWUKIS_clean,[Zn][O]([Zn])[Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],qnb
EWUSOF_clean,Cl[Cu]12[S]3[Mo]4562[S]1[Cu]5[S]6[Cu]34,n1ccc(cc1)c1ccncc1,ths
EWUSUL_clean,Cl[Cu]12[S]3[W]4562[S]1[Cu]5[S]6[Cu]34,n1ccc(cc1)c1ccncc1,ths
EWUTEW_clean,[Cu]12[S]3[W]4562[S]1[Cu]5[S]6[Cu]34,n1ccc(cc1)c1ccncc1,ERROR
EXALAR_clean,[Ni],C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1,dia
EXALIZ_clean,[Ni];[Ni]O[Mo]123O[Mo]45O[Mo]67O[Mo]8(O3)O[Mo]3(O2)O[Mo]29O[Mo](O1)(O5)O[Mo]1(O[Mo](O4)(O7)O[Mo]4(O1)(O[Mo](O3)(O2)O[Mo](O8)(O6)O4)O[Ni])O9,C(CN1[N]C=N[CH]1)CCn1ncnc1;C(Cn1ncnc1)CCn1ncnc1,fsc
