CIFNAME,smiles_nodes,smiles_linkers,topology
ADATAC_clean,[Zn][Zn],[O-]C(=O)c1cc(N=Nc2ccc(cc2)OCc2cc(COc3ccc(cc3)N=Nc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2ccc(cc2)N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],ERROR,ntt
ADATEG_manual,[Cu][Cu],[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2ccc(cc2)N(c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-],ERROR,ntt
ADATIK_clean,[Cu][Cu];[Cu][O]([Cu])[Cu],O=C(c1ccc(cc1)C1=NN=N[N]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-];O=C(c1ccc(cc1)C1=N[N]N=N1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],ntt
ADATOQ_clean,*,,NA
ADATUW_clean,*,,NA
ADAVAE_clean,*,,NA
ADAVEI_clean,*,,NA
ADAVIM_clean,*,,NA
ADAXEK_clean,[Co],[O-]C(=O)c1ccc(cc1)C(=O)[O-];[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],UNKNOWN
ADAXIO_clean,[Co],[O-]C(=O)c1ccc(cc1)C(=O)[O-];[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],UNKNOWN
ADEGIA01_clean,[Gd],[O-]C(=O)c1ccc(cc1)C(=O)[O-],pcu
ADEGIA_clean,[Gd],[O-]C(=O)c1ccc(cc1)C(=O)[O-],pcu
ADIQEL_clean,[Co],[O]C=C(c1ccncc1)C=O,rtl,sql
ADOCEC_clean,[Ni];[O];[V],n1ccc(cc1)c1ccncc1,UNKNOWN
ADODAA_charged,[Cu][O]([Cu])[Cu],[O-]C(=O)C1=CN=N[CH]1;[O-]C(=O)C1=C[N]N=C1,UNKNOWN
ADODII_clean,[La],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],UNKNOWN
ADUROI_clean,[Zn],O=C(c1cncc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-],pbz
ADUWIH_clean,[Zn],[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-],pcu
ADUWON_clean,[Ni],[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-],soc
AFEJOK_ion_b,[Cu],[O]N(=O)=O;n1ccc(cc1)c1ccncc1,bnn
AFENEE_clean,*,,NA
AFIPAH_clean,[La],[O-]C(=O)C(=O)[O-];[O-]C(=O)C=CC(=O)[O-],ERROR
AFITEP_clean,[Zn],[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-];n1ccc(cc1)c1ccncc1,dia
AFITUF_clean,[Zn][Zn],Brc1cc(ccc1C#Cc1ccc(cc1Br)C(=O)[O-])C(=O)[O-];C1=C[C](C=C[N]1)c1ccncc1;n1ccc(cc1)c1ccncc1,pcu
AFIXAO_clean,[Co],C1=C[N]C=N1;C1=N[CH]C=N1,nog
AFIXES_clean,[Co],C1=C[N]C=N1;C1=N[CH]C=N1,nog
AFOQUI_clean,[Zn],[N]1C=NN=C1;[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],UNKNOWN
AFOTUL_clean,[Sm],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy
AFOVAT_clean,[La],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy
AFOVEX_clean,[Ce],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy
AFOVIB_clean,[Gd],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy
AFOVOH_clean,[Nd],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy
AFOYAW_clean,[Cu];[Cu][OH][Cu][OH][Cu],n1ncn(c1)c1ccc(cc1)n1cnnc1,UNKNOWN
AFOYEB_clean,*,,NA
AFOYIE_clean,[Cu],n1ncn(c1)c1ccc(cc1)n1cnnc1,lim
AFOYOK_clean,[Cu],N1=[C][C]([C]=N1)c1ccc(cc1)C1=[C][N]N=[C]1;[N]1N=[C]C(=[C]1)c1ccc(cc1)C1=[C][N]N=[C]1,tsy
AFUKET_clean,[Mn],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-];c1ncn(c1)c1ccc(cc1)n1cncc1,UNKNOWN
AFUKIX_clean,[Mn],N1=[C]N([C]=[C]1)c1ccc(cc1)c1ccc(cc1)n1ccnc1;[O-]C(=O)C1=[C][C]=C([C]=[C]1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-];[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-];c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1,UNKNOWN
AFUPEX_clean,[Tm],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],sql
AGABIU_clean,*,,NA
AGARUW_clean,[La],[O-]C(=O)[O-];[O-]C(=O)c1[nH][n-]c(c1)C(=O)[O-],UNKNOWN
AGESIP_clean,[Cu];[OH],O=C1C(=O)C(=O)C1=O,UNKNOWN
AGIMOU_clean,Cl[Mn]Cl;[Mn],NC1=NN=N[N]1,ERROR
AGIREP_clean,[Zn][O]([Zn])([Zn])[Zn];[Zn][O]([Zn])[Zn];[Zn][Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],UNKNOWN
AGOFEJ_clean,*,,NA
AGONAM_clean,[Cd],[O-]C(=O)c1cc(C(=O)O)c(cc1C(=O)[O-])C(=O)[O-],sql
AGONEQ_clean,[Cd],[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],pts
AGOVOJ_clean,[In][O]([In])[In],[O-]C(=O)C1=[C]C2=C([C][C]1)[C]=C([C]=[C]2)C(=O)[O-];[O-]C(=O)C1=[C]C2=[C][C]=C([C]=C2[C][C]1)C(=O)[O-],ERROR
AGUTUS_clean,[Cu],n1ncn(c1)n1cnnc1,bcu
AGUVOO_charged,[Cu][OH][Cu][OH][Cu],n1ncn(c1)n1cnnc1,UNKNOWN
AGUWUV_clean,[Ni],[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-];c1cnc(cn1)C1=NN=N[N]1,UNKNOWN
AHAMAY_clean,*,,NA
AHEBAS_clean,[Cu][Cu],O=C(N1CCCC1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],UNKNOWN
AHEQAH_clean,[Ho],[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-],UNKNOWN
AHINIP_clean,[Zn],[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-];c1ncn(c1)c1cnc2c(c1)ccc1c2ncc(c1)n1cncc1,cds
AHOBEG_clean,[Co][OH2][Co],[O-]C(=O)c1cc(cc(c1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-];c1ncn(c1)c1ccc(cc1)n1cncc1,fsc,UNKNOWN
AHOJUC_clean,[V],[O]P([O])[O],ant
AHOKAJ_clean,[Fe],[O]P([O])[O],ant
AHOKIR01_clean,[Cu],[O]P(=O)(CCCCP(=O)([O])[O])[O],scu,UNKNOWN
AHOKIR_clean,[Cu],[O]P(=O)([C][C]=[C][C]P(=O)([O])[O])[O],scu,UNKNOWN
AHOKOX_clean,[Cu],[O]P(=O)([C][C][C][C][C]P(=O)([O])[O])[O],scu,UNKNOWN
AHUTIH01_clean,*,,NA
AHUTIH_clean,*,,NA
AJAKON_clean,[Cd],[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],UNKNOWN
AJAMEF_clean,[Co],[O-]C(=O)C1CCC(CC1)C(=O)[O-];n1cc(cc(c1)c1ccncc1)c1ccncc1,ERROR
AJAYIT_clean,[Cu];[Er],[O-]C(=O)CNCC(=O)[O-],UNKNOWN
AJIGIL_clean,[Na],OCC1OC2C(C1OP(=O)([O])OC(C)CNC(=O)CCC1(C3=C([C]4N5[Co]67(N8[CH]N2c2cc(C)c(cc82)C)N2[C](C(=C5C(C4CCC(=O)N)(C)C)Br)C(C(C2=C([C]2N7C(C(N36)C1CC(=O)N)(C)C(C2CCC(=O)N)(C)CC(=O)N)C)(C)CC(=O)N)CCC(=O)N)C)C)O,dia,UNKNOWN
AJINOY_clean,[Cu],O=C(c1ccncc1)N1CCN(CC1)C(=O)c1ccncc1;[O-]C(=O)C=Cc1ccccc1C(=O)[O-],ERROR
AJOTEY_clean,[V],[O]P([O])[O],ERROR
AJOVEB_clean,[Cd],[O-]C(=O)c1cc(ccc1C(=O)[O-])C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)C(=O)[O-])C(=O)[O-],UNKNOWN
AJOXAA_clean,[Nd];[Nd][Nd],[O-]C(=O)c1ccc(s1)C(=O)[O-],ERROR
AJUNOK_clean,[Cd],[O-]C(=O)c1ccc(cc1)C(=O)[O-];n1ccc(cc1)c1ccc(c2c1nsn2)c1ccncc1,pcu
AKEDIF_clean,[Zn],[O-]C(=O)c1ccc(cc1)C(=O)[O-];n1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccncc1,dia
AKOBAF_clean,[Cd],O=C(Nc1cccnc1)Cc1ccc(cc1)CC(=O)Nc1cccnc1,dia
AKOHEO_clean,O1[Mo]23[Mo]41[O]3[Fe]135([O]6[Mo]7(O2)O[Mo]67O[Mo]26[Mo](O4)([O]12)O6)[O]1[Mo]24[Mo]1(O4)O[Mo]14[O]3[Mo]1(O4)O[Mo]13[O]5[Mo]1(O2)O3;O[Fe],[O]P(=O)([O])[O],UNKNOWN
AKUKUO_clean,[Ni],[O]P(=O)(C(P(=O)([O])[O])(Cn1cncc1)O)O;n1ccc(cc1)C=Cc1ccncc1,frl,UNKNOWN
ALALUU01_clean,[Pr],[O-]C(=O)CC(=O)[O-],ERROR
ALALUU_clean,[Pr],[O-]C(=O)CC(=O)[O-];[O-]C(=O)[C]C(=O)[O-],ERROR
ALAMUW_clean,[Cu][Cu],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],nbo,UNKNOWN
ALANAD_clean,[Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],pts,tfi
